Cell_list	Type_list	Sector_list	EH84x_list	TT84x_list	CV94x_list	PT961_list	PT991_list	TT94x_list	TT961_list	R_list	Qs_list	Kv_list	nc_list	L_list
03R1_947	LSS	12	LQXAA_01R1_EH847.POSST	LQXAA_01R1_TT847A.POSST	QRLGC_03R1_CV947.POSST	QRLGC_03R1_PT961.POSST	QRLGC_03R1_PT991.POSST	QRLGC_03R1_TT947.POSST	QRLGC_03R1_TT961.POSST	3.000000e+01	6.000000e+00	2.600000e-01	2.000000e+00	3.500000e+01
04R1_947	LSS	12	LQYCH_04R1_EH847.POSST	LQYCH_04R1_TT847A.POSST	QRLFC_04R1_CV947.POSST	QRLFC_04R1_PT961.POSST	QRLFC_04R1_PT991.POSST	QRLFC_04R1_TT947.POSST	QRLFC_04R1_TT961.POSST	6.000000e+01	7.000000e+00	1.000000e-01	4.000000e+00	1.942000e+01
05R1_947	LSS	12	LQNDC_05R1_EH847.POSST	LQYCH_04R1_TT847A.POSST	QRLEC_05R1_CV947.POSST	QRLEC_05R1_PT961.POSST	QRLEC_05R1_PT991.POSST	QRLEC_05R1_TT947.POSST	QRLEC_05R1_TT961.POSST	6.000000e+01	4.000000e+00	4.200000e-02	4.000000e+00	8.220000e+00
06R1_947	LSS	12	LQNDD_06R1_EH847.POSST	LQNDD_06R1_TT847A.POSST	QRLEC_06R1_CV947.POSST	QRLEC_06R1_PT961.POSST	QRLEC_06R1_PT991.POSST	QRLEC_06R1_TT947.POSST	QRLEC_06R1_TT961.POSST	6.000000e+01	2.000000e+01	4.200000e-02	4.000000e+00	8.220000e+00
07R1_943	LSS	12	LBBRF_08R1_EH843.POSST	LBBRF_08R1_TT843.POSST	QRLCA_07R1_CV943.POSST	QRLDA_07R1_PT961.POSST	QRLDA_07R1_PT991.POSST	QRLCA_07R1_TT943.POSST	QRLDA_07R1_TT961.POSST	3.000000e+01	6.300000e+00	1.700000e-01	4.000000e+00	4.000000e+01
09R1_947	ARC	12	LQNCE_08R1_EH847.POSST	LQNCE_08R1_TT847.POSST	QRLBA_09R1_CV947.POSST	QRLBA_09R1_PT961.POSST	QRLBA_09R1_PT991.POSST	QRLBA_09R1_TT947.POSST	QRLBA_09R1_TT961.POSST	3.800000e+01	7.500000e+00	3.900000e-01	4.000000e+00	4.500000e+01
09R1_943	ARC	12	LBBRF_10R1_EH843.POSST	LBBRF_10R1_TT843.POSST	QRLBA_09R1_CV943.POSST	QRLBA_09R1_PT961.POSST	QRLBA_09R1_PT991.POSST	QRLBA_09R1_TT943.POSST	QRLBA_09R1_TT961.POSST	3.800000e+01	7.500000e+00	3.900000e-01	4.000000e+00	4.500000e+01
11R1_947	ARC	12	LQNCE_10R1_EH847.POSST	LQNCE_10R1_TT847.POSST	QRLAB_11R1_CV947.POSST	QRLBA_09R1_PT961.POSST	QRLBA_09R1_PT991.POSST	QRLAB_11R1_TT947.POSST	QRLBA_09R1_TT961.POSST	3.800000e+01	7.500000e+00	3.900000e-01	4.000000e+00	4.500000e+01
11R1_943	ARC	12	LBARB_12R1_EH843.POSST	LBARB_12R1_TT843.POSST	QRLAB_11R1_CV943.POSST	QRLAA_13R1_PT961.POSST	QRLAA_13R1_PT991.POSST	QRLAB_11R1_TT943.POSST	QRLAA_13R1_TT961.POSST	3.800000e+01	7.500000e+00	3.900000e-01	4.000000e+00	5.300000e+01
13R1_947	ARC	12	LQATH_12R1_EH847.POSST	LQATH_12R1_TT847.POSST	QRLAA_13R1_CV947.POSST	QRLAA_13R1_PT961.POSST	QRLAA_13R1_PT991.POSST	QRLAA_13R1_TT947.POSST	QRLAA_13R1_TT961.POSST	3.800000e+01	0.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
13R1_943	ARC	12	LBARB_14R1_EH843.POSST	LBARB_14R1_TT843.POSST	QRLAA_13R1_CV943.POSST	QRLAA_13R1_PT961.POSST	QRLAA_13R1_PT991.POSST	QRLAA_13R1_TT943.POSST	QRLAA_13R1_TT961.POSST	3.000000e+01	0.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
15R1_947	ARC	12	LQATH_14R1_EH847.POSST	LQATH_14R1_TT847.POSST	QRLAB_15R1_CV947.POSST	QRLAA_13R1_PT961.POSST	QRLAA_13R1_PT991.POSST	QRLAB_15R1_TT947.POSST	QRLAA_13R1_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
15R1_943	ARC	12	LBARB_16R1_EH843.POSST	LBARB_16R1_TT843.POSST	QRLAB_15R1_CV943.POSST	QRLAA_17R1_PT961.POSST	QRLAA_17R1_PT991.POSST	QRLAB_15R1_TT943.POSST	QRLAA_17R1_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
17R1_947	ARC	12	LQATH_16R1_EH847.POSST	LQATH_16R1_TT847.POSST	QRLAA_17R1_CV947.POSST	QRLAA_17R1_PT961.POSST	QRLAA_17R1_PT991.POSST	QRLAA_17R1_TT947.POSST	QRLAA_17R1_TT961.POSST	3.800000e+01	3.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
17R1_943	ARC	12	LBARB_18R1_EH843.POSST	LBARB_18R1_TT843.POSST	QRLAA_17R1_CV943.POSST	QRLAA_17R1_PT961.POSST	QRLAA_17R1_PT991.POSST	QRLAA_17R1_TT943.POSST	QRLAA_17R1_TT961.POSST	3.800000e+01	0.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
19R1_947	ARC	12	LQATH_18R1_EH847.POSST	LQATH_18R1_TT847.POSST	QRLAB_19R1_CV947.POSST	QRLAA_17R1_PT961.POSST	QRLAA_17R1_PT991.POSST	QRLAB_19R1_TT947.POSST	QRLAA_17R1_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
19R1_943	ARC	12	LBARB_20R1_EH843.POSST	LBARB_20R1_TT843.POSST	QRLAB_19R1_CV943.POSST	QRLAA_21R1_PT961.POSST	QRLAA_21R1_PT991.POSST	QRLAB_19R1_TT943.POSST	QRLAA_21R1_TT961.POSST	3.800000e+01	7.500000e+00	3.900000e-01	4.000000e+00	5.300000e+01
21R1_947	ARC	12	LQATH_20R1_EH847.POSST	LQATH_20R1_TT847.POSST	QRLAA_21R1_CV947.POSST	QRLAA_21R1_PT961.POSST	QRLAA_21R1_PT991.POSST	QRLAA_21R1_TT947.POSST	QRLAA_21R1_TT961.POSST	3.000000e+01	0.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
21R1_943	ARC	12	LBARB_22R1_EH843.POSST	LBARB_22R1_TT843.POSST	QRLAA_21R1_CV943.POSST	QRLAA_21R1_PT961.POSST	QRLAA_21R1_PT991.POSST	QRLAA_21R1_TT943.POSST	QRLAA_21R1_TT961.POSST	3.800000e+01	0.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
23R1_947	ARC	12	LQOAG_22R1_EH847.POSST	LQOAG_22R1_TT847.POSST	QRLAB_23R1_CV947.POSST	QRLAA_21R1_PT961.POSST	QRLAA_21R1_PT991.POSST	QRLAB_23R1_TT947.POSST	QRLAA_21R1_TT961.POSST	3.000000e+01	7.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
23R1_943	ARC	12	LBARB_24R1_EH843.POSST	LBARB_24R1_TT843.POSST	QRLAB_23R1_CV943.POSST	QRLAA_25R1_PT961.POSST	QRLAA_25R1_PT991.POSST	QRLAB_23R1_TT943.POSST	QRLAA_25R1_TT961.POSST	3.000000e+01	7.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
25R1_947	ARC	12	LQOAG_24R1_EH847.POSST	LQOAG_24R1_TT847.POSST	QRLAA_25R1_CV947.POSST	QRLAA_25R1_PT961.POSST	QRLAA_25R1_PT991.POSST	QRLAA_25R1_TT947.POSST	QRLAA_25R1_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
25R1_943	ARC	12	LBARB_26R1_EH843.POSST	LBARB_26R1_TT843.POSST	QRLAA_25R1_CV943.POSST	QRLAA_25R1_PT961.POSST	QRLAA_25R1_PT991.POSST	QRLAA_25R1_TT943.POSST	QRLAA_25R1_TT961.POSST	3.800000e+01	6.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
27R1_947	ARC	12	LQOAG_26R1_EH847.POSST	LQOAG_26R1_TT847.POSST	QRLAB_27R1_CV947.POSST	QRLAA_25R1_PT961.POSST	QRLAA_25R1_PT991.POSST	QRLAB_27R1_TT947.POSST	QRLAA_25R1_TT961.POSST	3.800000e+01	1.000000e+01	3.900000e-01	4.000000e+00	5.300000e+01
27R1_943	ARC	12	LBARB_28R1_EH843.POSST	LBARB_28R1_TT843.POSST	QRLAB_27R1_CV943.POSST	QRLAA_29R1_PT961.POSST	QRLAA_29R1_PT991.POSST	QRLAB_27R1_TT943.POSST	QRLAA_29R1_TT961.POSST	3.800000e+01	0.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
29R1_947	ARC	12	LQOAG_28R1_EH847.POSST	LQOAG_28R1_TT847.POSST	QRLAA_29R1_CV947.POSST	QRLAA_29R1_PT961.POSST	QRLAA_29R1_PT991.POSST	QRLAA_29R1_TT947.POSST	QRLAA_29R1_TT961.POSST	3.800000e+01	3.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
29R1_943	ARC	12	LBARB_30R1_EH843.POSST	LBARB_30R1_TT843.POSST	QRLAA_29R1_CV943.POSST	QRLAA_29R1_PT961.POSST	QRLAA_29R1_PT991.POSST	QRLAA_29R1_TT943.POSST	QRLAA_29R1_TT961.POSST	3.800000e+01	0.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
31R1_947	ARC	12	LQOAM_30R1_EH847.POSST	LQOAM_30R1_TT847.POSST	QRLAC_31R1_CV947.POSST	QRLAA_29R1_PT961.POSST	QRLAA_29R1_PT991.POSST	QRLAC_31R1_TT947.POSST	QRLAA_29R1_TT961.POSST	3.800000e+01	3.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
31R1_943	ARC	12	LBARB_32R1_EH843.POSST	LBARB_32R1_TT843.POSST	QRLAC_31R1_CV943.POSST	QRLAA_33L2_PT961.POSST	QRLAA_33L2_PT991.POSST	QRLAC_31R1_TT943.POSST	QRLAA_33L2_TT961.POSST	3.800000e+01	0.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
33R1_947	ARC	12	LQOAG_32R1_EH847.POSST	LQOAG_32R1_TT847.POSST	QRLAD_33R1_CV947.POSST	QRLAA_33L2_PT961.POSST	QRLAA_33L2_PT991.POSST	QRLAD_33R1_TT947.POSST	QRLAA_33L2_TT961.POSST	3.800000e+01	8.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
33R1_943	ARC	12	LBARB_34R1_EH843.POSST	LBARB_34R1_TT843.POSST	QRLAD_33R1_CV943.POSST	QRLAA_33L2_PT961.POSST	QRLAA_33L2_PT991.POSST	QRLAD_33R1_TT943.POSST	QRLAA_33L2_TT961.POSST	3.800000e+01	7.500000e+00	3.900000e-01	4.000000e+00	5.300000e+01
33L2_947	ARC	12	LQOAM_34R1_EH847.POSST	LQOAM_34R1_TT847.POSST	QRLAA_33L2_CV947.POSST	QRLAA_33L2_PT961.POSST	QRLAA_33L2_PT991.POSST	QRLAA_33L2_TT947.POSST	QRLAA_33L2_TT961.POSST	3.800000e+01	0.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
33L2_943	ARC	12	LBARB_33L2_EH843.POSST	LBARB_33L2_TT843.POSST	QRLAA_33L2_CV943.POSST	QRLAA_33L2_PT961.POSST	QRLAA_33L2_PT991.POSST	QRLAA_33L2_TT943.POSST	QRLAA_33L2_TT961.POSST	3.800000e+01	0.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
31L2_947	ARC	12	LQOAM_32L2_EH847.POSST	LQOAM_32L2_TT847.POSST	QRLAB_31L2_CV947.POSST	QRLAA_33L2_PT961.POSST	QRLAA_33L2_PT991.POSST	QRLAB_31L2_TT947.POSST	QRLAA_33L2_TT961.POSST	3.800000e+01	7.500000e+00	3.900000e-01	4.000000e+00	5.300000e+01
31L2_943	ARC	12	LBARB_31L2_EH843.POSST	LBARB_31L2_TT843.POSST	QRLAB_31L2_CV943.POSST	QRLAA_29L2_PT961.POSST	QRLAA_29L2_PT991.POSST	QRLAB_31L2_TT943.POSST	QRLAA_29L2_TT961.POSST	3.800000e+01	8.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
29L2_947	ARC	12	LQOAG_30L2_EH847.POSST	LQOAG_30L2_TT847.POSST	QRLAA_29L2_CV947.POSST	QRLAA_29L2_PT961.POSST	QRLAA_29L2_PT991.POSST	QRLAA_29L2_TT947.POSST	QRLAA_29L2_TT961.POSST	3.800000e+01	8.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
29L2_943	ARC	12	LBARB_29L2_EH843.POSST	LBARB_29L2_TT843.POSST	QRLAA_29L2_CV943.POSST	QRLAA_29L2_PT961.POSST	QRLAA_29L2_PT991.POSST	QRLAA_29L2_TT943.POSST	QRLAA_29L2_TT961.POSST	3.800000e+01	0.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
27L2_947	ARC	12	LQOAM_28L2_EH847.POSST	LQOAM_28L2_TT847.POSST	QRLAB_27L2_CV947.POSST	QRLAA_29L2_PT961.POSST	QRLAA_29L2_PT991.POSST	QRLAB_27L2_TT947.POSST	QRLAA_29L2_TT961.POSST	3.800000e+01	7.500000e+00	3.900000e-01	4.000000e+00	5.300000e+01
27L2_943	ARC	12	LBARB_27L2_EH843.POSST	LBARB_27L2_TT843.POSST	QRLAB_27L2_CV943.POSST	QRLAA_25L2_PT961.POSST	QRLAA_25L2_PT991.POSST	QRLAB_27L2_TT943.POSST	QRLAA_25L2_TT961.POSST	3.800000e+01	5.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
25L2_947	ARC	12	LQOAG_26L2_EH847.POSST	LQOAG_26L2_TT847.POSST	QRLAA_25L2_CV947.POSST	QRLAA_25L2_PT961.POSST	QRLAA_25L2_PT991.POSST	QRLAA_25L2_TT947.POSST	QRLAA_25L2_TT961.POSST	3.800000e+01	9.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
25L2_943	ARC	12	LBARB_25L2_EH843.POSST	LBARB_25L2_TT843.POSST	QRLAA_25L2_CV943.POSST	QRLAA_25L2_PT961.POSST	QRLAA_25L2_PT991.POSST	QRLAA_25L2_TT943.POSST	QRLAA_25L2_TT961.POSST	3.800000e+01	5.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
23L2_947	ARC	12	LQOAG_24L2_EH847.POSST	LQOAG_24L2_TT847.POSST	QRLAB_23L2_CV947.POSST	QRLAA_25L2_PT961.POSST	QRLAA_25L2_PT991.POSST	QRLAB_23L2_TT947.POSST	QRLAA_25L2_TT961.POSST	3.800000e+01	7.500000e+00	3.900000e-01	4.000000e+00	5.300000e+01
23L2_943	ARC	12	LBARB_23L2_EH843.POSST	LBARB_23L2_TT843.POSST	QRLAB_23L2_CV943.POSST	QRLAA_21L2_PT961.POSST	QRLAA_21L2_PT991.POSST	QRLAB_23L2_TT943.POSST	QRLAA_21L2_TT961.POSST	3.800000e+01	0.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
21L2_947	ARC	12	LQOAG_22L2_EH847.POSST	LQOAG_22L2_TT847.POSST	QRLAA_21L2_CV947.POSST	QRLAA_21L2_PT961.POSST	QRLAA_21L2_PT991.POSST	QRLAA_21L2_TT947.POSST	QRLAA_21L2_TT961.POSST	3.800000e+01	0.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
21L2_943	ARC	12	LBARB_21L2_EH843.POSST	LBARB_21L2_TT843.POSST	QRLAA_21L2_CV943.POSST	QRLAA_21L2_PT961.POSST	QRLAA_21L2_PT991.POSST	QRLAA_21L2_TT943.POSST	QRLAA_21L2_TT961.POSST	3.800000e+01	7.500000e+00	3.900000e-01	4.000000e+00	5.300000e+01
19L2_947	ARC	12	LQATH_20L2_EH847.POSST	LQATH_20L2_TT847.POSST	QRLAB_19L2_CV947.POSST	QRLAA_21L2_PT961.POSST	QRLAA_21L2_PT991.POSST	QRLAB_19L2_TT947.POSST	QRLAA_21L2_TT961.POSST	3.800000e+01	7.500000e+00	3.900000e-01	4.000000e+00	5.300000e+01
19L2_943	ARC	12	LBARB_19L2_EH843.POSST	LBARB_19L2_TT843.POSST	QRLAB_19L2_CV943.POSST	QRLAA_17L2_PT961.POSST	QRLAA_17L2_PT991.POSST	QRLAB_19L2_TT943.POSST	QRLAA_17L2_TT961.POSST	3.800000e+01	7.500000e+00	3.900000e-01	4.000000e+00	5.300000e+01
